id,repo_name,domain,primitive_type,concept,foundational_primitive,first_commit_mvp,starter_command,status,license,contribution_path
275,kinetic-interface-vault,Human-AI Interfaces,vault,A private vault for storing sensitive context used by new interaction patterns between people and intelligent software.,Vault for interface systems,Encrypted store + access policy,mkdir kinetic-interface-vault && cd kinetic-interface-vault && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
276,mosaic-interface-mirror,Human-AI Interfaces,mirror,A reflection system that compares stated goals to actual behavior in new interaction patterns between people and intelligent software.,Mirror for interface systems,Diff engine + report,mkdir mosaic-interface-mirror && cd mosaic-interface-mirror && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
277,horizon-interface-switchboard,Human-AI Interfaces,switchboard,A routing switchboard that sends each task in new interaction patterns between people and intelligent software to the right module.,Switchboard for interface systems,Router + routing tests,mkdir horizon-interface-switchboard && cd horizon-interface-switchboard && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
278,thread-interface-receipt,Human-AI Interfaces,receipt,"A verifiable receipt system for actions, outcomes, and handoffs in new interaction patterns between people and intelligent software.",Receipt for interface systems,Receipt schema + signer,mkdir thread-interface-receipt && cd thread-interface-receipt && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
279,moral-interface-atelier,Human-AI Interfaces,atelier,A creative workbench for composing artifacts related to new interaction patterns between people and intelligent software.,Atelier for interface systems,Asset pipeline + previewer,mkdir moral-interface-atelier && cd moral-interface-atelier && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
280,human-interface-garden,Human-AI Interfaces,garden,A growth system that nurtures small contributions into mature assets for new interaction patterns between people and intelligent software.,Garden for interface systems,Contribution tracker,mkdir human-interface-garden && cd human-interface-garden && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
281,oath-interface-compass,Human-AI Interfaces,compass,A decision-support compass that scores options within new interaction patterns between people and intelligent software.,Compass for interface systems,Scoring model + examples,mkdir oath-interface-compass && cd oath-interface-compass && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
282,chrono-interface-pulse,Human-AI Interfaces,pulse,A real-time pulse monitor for health signals in new interaction patterns between people and intelligent software.,Pulse for interface systems,Metrics collector + UI,mkdir chrono-interface-pulse && cd chrono-interface-pulse && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
283,harbor-interface-ritual,Human-AI Interfaces,ritual,A repeatable operating ritual that structures recurring work in new interaction patterns between people and intelligent software.,Ritual for interface systems,Checklist engine + logs,mkdir harbor-interface-ritual && cd harbor-interface-ritual && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
284,quartz-interface-scaffold,Human-AI Interfaces,scaffold,A repo scaffold that makes new interaction patterns between people and intelligent software production-ready from the first commit.,Scaffold for interface systems,Starter repo + docs,mkdir quartz-interface-scaffold && cd quartz-interface-scaffold && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
285,mantle-interface-archive,Human-AI Interfaces,archive,"A durable archive that preserves versions, context, and annotations for new interaction patterns between people and intelligent software.",Archive for interface systems,Archive layout + viewer,mkdir mantle-interface-archive && cd mantle-interface-archive && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
286,aether-interface-resolver,Human-AI Interfaces,resolver,A conflict resolver that reconciles competing constraints in new interaction patterns between people and intelligent software.,Resolver for interface systems,Resolution rules + tests,mkdir aether-interface-resolver && cd aether-interface-resolver && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
287,signal-interface-beacon,Human-AI Interfaces,beacon,A lightweight broadcast mechanism for publishing trusted signals about new interaction patterns between people and intelligent software.,Beacon for interface systems,Pub/sub demo,mkdir signal-interface-beacon && cd signal-interface-beacon && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
288,catalyst-interface-mixer,Human-AI Interfaces,mixer,A composition engine that blends modules and data streams for new interaction patterns between people and intelligent software.,Mixer for interface systems,Mixer API + examples,mkdir catalyst-interface-mixer && cd catalyst-interface-mixer && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
289,nexus-interface-contract,Human-AI Interfaces,contract,"A machine-readable contract format for roles, limits, and guarantees in new interaction patterns between people and intelligent software.",Contract for interface systems,Contract schema + linter,mkdir nexus-interface-contract && cd nexus-interface-contract && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
290,oracle-interface-sentry,Human-AI Interfaces,sentry,A sentry that flags anomalies and unsafe transitions in new interaction patterns between people and intelligent software.,Sentry for interface systems,Detector + alert mock,mkdir oracle-interface-sentry && cd oracle-interface-sentry && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
291,saffron-interface-loom,Human-AI Interfaces,loom,A weaving engine that turns fragmented inputs into coherent flows for new interaction patterns between people and intelligent software.,Loom for interface systems,Flow builder + examples,mkdir saffron-interface-loom && cd saffron-interface-loom && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
292,echo-interface-prism,Human-AI Interfaces,prism,A multi-perspective review system for evaluating new interaction patterns between people and intelligent software.,Prism for interface systems,Review rubric + UI,mkdir echo-interface-prism && cd echo-interface-prism && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
293,source-interface-turbine,Human-AI Interfaces,turbine,A momentum engine that converts small signals into prioritized work for new interaction patterns between people and intelligent software.,Turbine for interface systems,Prioritizer + queue,mkdir source-interface-turbine && cd source-interface-turbine && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
294,lattice-interface-dock,Human-AI Interfaces,dock,A docking standard that lets plugins attach cleanly to new interaction patterns between people and intelligent software.,Dock for interface systems,Plugin API + sample plugin,mkdir lattice-interface-dock && cd lattice-interface-dock && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
295,vector-interface-seedbank,Human-AI Interfaces,seedbank,"A seedbank of reusable primitives, prompts, schemas, and tests for new interaction patterns between people and intelligent software.",Seedbank for interface systems,Library + search,mkdir vector-interface-seedbank && cd vector-interface-seedbank && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
296,veritas-interface-scorecard,Human-AI Interfaces,scorecard,A scorecard system that converts qualitative outcomes into inspectable measures for new interaction patterns between people and intelligent software.,Scorecard for interface systems,Metrics schema + report,mkdir veritas-interface-scorecard && cd veritas-interface-scorecard && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
297,basalt-interface-constellation,Human-AI Interfaces,constellation,"A constellation view that links projects, people, and artifacts in new interaction patterns between people and intelligent software.",Constellation for interface systems,Entity model + graph UI,mkdir basalt-interface-constellation && cd basalt-interface-constellation && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
298,meridian-interface-relay,Human-AI Interfaces,relay,"A reliable relay for moving messages, context, and tasks across new interaction patterns between people and intelligent software.",Relay for interface systems,Message bus + retries,mkdir meridian-interface-relay && cd meridian-interface-relay && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
299,verdant-interface-calibrator,Human-AI Interfaces,calibrator,A calibration suite that tunes thresholds and expectations for new interaction patterns between people and intelligent software.,Calibrator for interface systems,Calibration tests + chart,mkdir verdant-interface-calibrator && cd verdant-interface-calibrator && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
300,steward-interface-codex,Human-AI Interfaces,codex,"A living codex that stores principles, examples, and reference patterns for new interaction patterns between people and intelligent software.",Codex for interface systems,Docs engine + examples,mkdir steward-interface-codex && cd steward-interface-codex && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
301,halo-spatial-protocol,Embodied & Spatial Computing,protocol,"A protocol that standardizes software connected to space, movement, and physical context across independent tools.",Protocol for spatial systems,Spec draft + reference validator,mkdir halo-spatial-protocol && cd halo-spatial-protocol && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
302,kinetic-spatial-kernel,Embodied & Spatial Computing,kernel,"A minimal runtime kernel for software connected to space, movement, and physical context without vendor lock-in.",Kernel for spatial systems,Core runtime + CLI,mkdir kinetic-spatial-kernel && cd kinetic-spatial-kernel && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
303,mosaic-spatial-ledger,Embodied & Spatial Computing,ledger,"An append-only event ledger for software connected to space, movement, and physical context with replayable history.",Ledger for spatial systems,Event schema + replay demo,mkdir mosaic-spatial-ledger && cd mosaic-spatial-ledger && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
304,horizon-spatial-simulator,Embodied & Spatial Computing,simulator,"A simulation engine that stress-tests software connected to space, movement, and physical context before deployment.",Simulator for spatial systems,Scenario runner + sample cases,mkdir horizon-spatial-simulator && cd horizon-spatial-simulator && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
305,thread-spatial-compiler,Embodied & Spatial Computing,compiler,"A compiler that converts human intent into machine-checkable plans for software connected to space, movement, and physical context.",Compiler for spatial systems,Parser + plan IR,mkdir thread-spatial-compiler && cd thread-spatial-compiler && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
306,moral-spatial-index,Embodied & Spatial Computing,index,"A semantic index that makes software connected to space, movement, and physical context searchable, comparable, and reusable.",Index for spatial systems,Indexer + query API,mkdir moral-spatial-index && cd moral-spatial-index && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
307,human-spatial-canvas,Embodied & Spatial Computing,canvas,"An interactive canvas for designing and debugging software connected to space, movement, and physical context.",Canvas for spatial systems,Web UI + example board,mkdir human-spatial-canvas && cd human-spatial-canvas && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
308,oath-spatial-agent,Embodied & Spatial Computing,agent,"A specialist agent that manages one narrow responsibility inside software connected to space, movement, and physical context.",Agent for spatial systems,Agent contract + tests,mkdir oath-spatial-agent && cd oath-spatial-agent && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
309,chrono-spatial-orchestrator,Embodied & Spatial Computing,orchestrator,"An orchestrator that coordinates modules responsible for software connected to space, movement, and physical context.",Orchestrator for spatial systems,Router + plugin registry,mkdir chrono-spatial-orchestrator && cd chrono-spatial-orchestrator && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
310,harbor-spatial-guardian,Embodied & Spatial Computing,guardian,"A guard layer that detects failure, drift, and misuse in software connected to space, movement, and physical context.",Guardian for spatial systems,Policy rules + audit log,mkdir harbor-spatial-guardian && cd harbor-spatial-guardian && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
311,quartz-spatial-codec,Embodied & Spatial Computing,codec,"A translation layer that converts messy inputs into structured records for software connected to space, movement, and physical context.",Codec for spatial systems,Normalizer + fixtures,mkdir quartz-spatial-codec && cd quartz-spatial-codec && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
312,mantle-spatial-mesh,Embodied & Spatial Computing,mesh,"A federated mesh where peers share signals about software connected to space, movement, and physical context without central control.",Mesh for spatial systems,Peer protocol + mock nodes,mkdir mantle-spatial-mesh && cd mantle-spatial-mesh && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
313,aether-spatial-notebook,Embodied & Spatial Computing,notebook,"A living notebook format where every claim about software connected to space, movement, and physical context carries evidence.",Notebook for spatial systems,File format + renderer,mkdir aether-spatial-notebook && cd aether-spatial-notebook && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
314,signal-spatial-sandbox,Embodied & Spatial Computing,sandbox,"A safe experimentation sandbox for testing software connected to space, movement, and physical context under constraints.",Sandbox for spatial systems,Isolated runner + examples,mkdir signal-spatial-sandbox && cd signal-spatial-sandbox && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
315,catalyst-spatial-graph,Embodied & Spatial Computing,graph,"A graph engine that models dependencies, roles, and constraints for software connected to space, movement, and physical context.",Graph for spatial systems,Graph schema + viewer,mkdir catalyst-spatial-graph && cd catalyst-spatial-graph && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
316,nexus-spatial-daemon,Embodied & Spatial Computing,daemon,"A background daemon that watches changes and updates software connected to space, movement, and physical context automatically.",Daemon for spatial systems,Watcher + config,mkdir nexus-spatial-daemon && cd nexus-spatial-daemon && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
317,oracle-spatial-lens,Embodied & Spatial Computing,lens,"A diagnostic lens that reveals hidden structure and weak points in software connected to space, movement, and physical context.",Lens for spatial systems,Report generator,mkdir oracle-spatial-lens && cd oracle-spatial-lens && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
318,saffron-spatial-bridge,Embodied & Spatial Computing,bridge,"A bridge connecting legacy tools to modern primitives for software connected to space, movement, and physical context.",Bridge for spatial systems,Adapter + import script,mkdir saffron-spatial-bridge && cd saffron-spatial-bridge && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
319,echo-spatial-forge,Embodied & Spatial Computing,forge,"A generator that creates starter modules for software connected to space, movement, and physical context.",Forge for spatial systems,Template engine + sample project,mkdir echo-spatial-forge && cd echo-spatial-forge && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
320,source-spatial-checkpoint,Embodied & Spatial Computing,checkpoint,"A checkpointing system that preserves state and rollback paths for software connected to space, movement, and physical context.",Checkpoint for spatial systems,Snapshot API + restore test,mkdir source-spatial-checkpoint && cd source-spatial-checkpoint && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
321,lattice-spatial-radar,Embodied & Spatial Computing,radar,"A signal-detection layer that finds emerging patterns in software connected to space, movement, and physical context.",Radar for spatial systems,Signal rules + dashboard,mkdir lattice-spatial-radar && cd lattice-spatial-radar && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
322,vector-spatial-passport,Embodied & Spatial Computing,passport,"A portable identity or credential artifact for participants in software connected to space, movement, and physical context.",Passport for spatial systems,Credential schema + verifier,mkdir vector-spatial-passport && cd vector-spatial-passport && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
323,veritas-spatial-map,Embodied & Spatial Computing,map,"A navigable map of actors, assets, and flows involved in software connected to space, movement, and physical context.",Map for spatial systems,Map model + demo data,mkdir veritas-spatial-map && cd veritas-spatial-map && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
324,basalt-spatial-scheduler,Embodied & Spatial Computing,scheduler,"A constraint-aware scheduler for coordinating resources inside software connected to space, movement, and physical context.",Scheduler for spatial systems,Solver + calendar export,mkdir basalt-spatial-scheduler && cd basalt-spatial-scheduler && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
325,meridian-spatial-vault,Embodied & Spatial Computing,vault,"A private vault for storing sensitive context used by software connected to space, movement, and physical context.",Vault for spatial systems,Encrypted store + access policy,mkdir meridian-spatial-vault && cd meridian-spatial-vault && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
326,verdant-spatial-mirror,Embodied & Spatial Computing,mirror,"A reflection system that compares stated goals to actual behavior in software connected to space, movement, and physical context.",Mirror for spatial systems,Diff engine + report,mkdir verdant-spatial-mirror && cd verdant-spatial-mirror && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
327,steward-spatial-switchboard,Embodied & Spatial Computing,switchboard,"A routing switchboard that sends each task in software connected to space, movement, and physical context to the right module.",Switchboard for spatial systems,Router + routing tests,mkdir steward-spatial-switchboard && cd steward-spatial-switchboard && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
328,terra-spatial-receipt,Embodied & Spatial Computing,receipt,"A verifiable receipt system for actions, outcomes, and handoffs in software connected to space, movement, and physical context.",Receipt for spatial systems,Receipt schema + signer,mkdir terra-spatial-receipt && cd terra-spatial-receipt && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
329,kindred-spatial-atelier,Embodied & Spatial Computing,atelier,"A creative workbench for composing artifacts related to software connected to space, movement, and physical context.",Atelier for spatial systems,Asset pipeline + previewer,mkdir kindred-spatial-atelier && cd kindred-spatial-atelier && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
330,open-spatial-garden,Embodied & Spatial Computing,garden,"A growth system that nurtures small contributions into mature assets for software connected to space, movement, and physical context.",Garden for spatial systems,Contribution tracker,mkdir open-spatial-garden && cd open-spatial-garden && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
331,aurora-spatial-compass,Embodied & Spatial Computing,compass,"A decision-support compass that scores options within software connected to space, movement, and physical context.",Compass for spatial systems,Scoring model + examples,mkdir aurora-spatial-compass && cd aurora-spatial-compass && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
332,cobalt-spatial-pulse,Embodied & Spatial Computing,pulse,"A real-time pulse monitor for health signals in software connected to space, movement, and physical context.",Pulse for spatial systems,Metrics collector + UI,mkdir cobalt-spatial-pulse && cd cobalt-spatial-pulse && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
333,praxis-spatial-ritual,Embodied & Spatial Computing,ritual,"A repeatable operating ritual that structures recurring work in software connected to space, movement, and physical context.",Ritual for spatial systems,Checklist engine + logs,mkdir praxis-spatial-ritual && cd praxis-spatial-ritual && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
334,humane-spatial-scaffold,Embodied & Spatial Computing,scaffold,"A repo scaffold that makes software connected to space, movement, and physical context production-ready from the first commit.",Scaffold for spatial systems,Starter repo + docs,mkdir humane-spatial-scaffold && cd humane-spatial-scaffold && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
335,neon-spatial-archive,Embodied & Spatial Computing,archive,"A durable archive that preserves versions, context, and annotations for software connected to space, movement, and physical context.",Archive for spatial systems,Archive layout + viewer,mkdir neon-spatial-archive && cd neon-spatial-archive && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
336,foundry-spatial-resolver,Embodied & Spatial Computing,resolver,"A conflict resolver that reconciles competing constraints in software connected to space, movement, and physical context.",Resolver for spatial systems,Resolution rules + tests,mkdir foundry-spatial-resolver && cd foundry-spatial-resolver && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
337,root-spatial-beacon,Embodied & Spatial Computing,beacon,"A lightweight broadcast mechanism for publishing trusted signals about software connected to space, movement, and physical context.",Beacon for spatial systems,Pub/sub demo,mkdir root-spatial-beacon && cd root-spatial-beacon && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
338,field-spatial-mixer,Embodied & Spatial Computing,mixer,"A composition engine that blends modules and data streams for software connected to space, movement, and physical context.",Mixer for spatial systems,Mixer API + examples,mkdir field-spatial-mixer && cd field-spatial-mixer && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
339,dovetail-spatial-contract,Embodied & Spatial Computing,contract,"A machine-readable contract format for roles, limits, and guarantees in software connected to space, movement, and physical context.",Contract for spatial systems,Contract schema + linter,mkdir dovetail-spatial-contract && cd dovetail-spatial-contract && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
340,cairn-spatial-sentry,Embodied & Spatial Computing,sentry,"A sentry that flags anomalies and unsafe transitions in software connected to space, movement, and physical context.",Sentry for spatial systems,Detector + alert mock,mkdir cairn-spatial-sentry && cd cairn-spatial-sentry && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
341,frontier-spatial-loom,Embodied & Spatial Computing,loom,"A weaving engine that turns fragmented inputs into coherent flows for software connected to space, movement, and physical context.",Loom for spatial systems,Flow builder + examples,mkdir frontier-spatial-loom && cd frontier-spatial-loom && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
342,quiet-spatial-prism,Embodied & Spatial Computing,prism,"A multi-perspective review system for evaluating software connected to space, movement, and physical context.",Prism for spatial systems,Review rubric + UI,mkdir quiet-spatial-prism && cd quiet-spatial-prism && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
343,sentinel-spatial-turbine,Embodied & Spatial Computing,turbine,"A momentum engine that converts small signals into prioritized work for software connected to space, movement, and physical context.",Turbine for spatial systems,Prioritizer + queue,mkdir sentinel-spatial-turbine && cd sentinel-spatial-turbine && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
344,ember-spatial-dock,Embodied & Spatial Computing,dock,"A docking standard that lets plugins attach cleanly to software connected to space, movement, and physical context.",Dock for spatial systems,Plugin API + sample plugin,mkdir ember-spatial-dock && cd ember-spatial-dock && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
345,soma-spatial-seedbank,Embodied & Spatial Computing,seedbank,"A seedbank of reusable primitives, prompts, schemas, and tests for software connected to space, movement, and physical context.",Seedbank for spatial systems,Library + search,mkdir soma-spatial-seedbank && cd soma-spatial-seedbank && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
346,glyph-spatial-scorecard,Embodied & Spatial Computing,scorecard,"A scorecard system that converts qualitative outcomes into inspectable measures for software connected to space, movement, and physical context.",Scorecard for spatial systems,Metrics schema + report,mkdir glyph-spatial-scorecard && cd glyph-spatial-scorecard && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
347,lantern-spatial-constellation,Embodied & Spatial Computing,constellation,"A constellation view that links projects, people, and artifacts in software connected to space, movement, and physical context.",Constellation for spatial systems,Entity model + graph UI,mkdir lantern-spatial-constellation && cd lantern-spatial-constellation && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
348,blueprint-spatial-relay,Embodied & Spatial Computing,relay,"A reliable relay for moving messages, context, and tasks across software connected to space, movement, and physical context.",Relay for spatial systems,Message bus + retries,mkdir blueprint-spatial-relay && cd blueprint-spatial-relay && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
349,civic-spatial-calibrator,Embodied & Spatial Computing,calibrator,"A calibration suite that tunes thresholds and expectations for software connected to space, movement, and physical context.",Calibrator for spatial systems,Calibration tests + chart,mkdir civic-spatial-calibrator && cd civic-spatial-calibrator && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
350,atlas-spatial-codex,Embodied & Spatial Computing,codex,"A living codex that stores principles, examples, and reference patterns for software connected to space, movement, and physical context.",Codex for spatial systems,Docs engine + examples,mkdir atlas-spatial-codex && cd atlas-spatial-codex && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
351,basalt-edge-protocol,"Edge, IoT & Robotics",protocol,"A protocol that standardizes intelligence running near devices, sensors, and machines across independent tools.",Protocol for edge systems,Spec draft + reference validator,mkdir basalt-edge-protocol && cd basalt-edge-protocol && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
352,meridian-edge-kernel,"Edge, IoT & Robotics",kernel,"A minimal runtime kernel for intelligence running near devices, sensors, and machines without vendor lock-in.",Kernel for edge systems,Core runtime + CLI,mkdir meridian-edge-kernel && cd meridian-edge-kernel && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
